state_ut,district,year,voilent_crime_total,women_crime_total,property_crime_total,economic_crime_total,total_ipc_crimes
MADHYA PRADESH,DHAR,2013,1047,777,1447,57,7049
MADHYA PRADESH,DHAR,2014,1141,504,1192,69,5977
MADHYA PRADESH,DHAR,2014,1082,787,1488,62,6833
MADHYA PRADESH,DHAR,2015,1182,512,1196,80,6062
MADHYA PRADESH,DHAR,2015,1088,820,1540,67,7359
MADHYA PRADESH,DHAR,2016,1193,527,1150,91,6102
MADHYA PRADESH,DHAR,2016,1128,842,1591,68,7733
MADHYA PRADESH,DHAR,2017,1207,524,1142,95,5925
MADHYA PRADESH,DHAR,2017,1165,840,1655,69,8172
MADHYA PRADESH,DHAR,2018,1268,532,1209,103,5839
MADHYA PRADESH,DHAR,2018,1212,849,1654,76,8601
MADHYA PRADESH,DHAR,2019,1278,563,1265,116,5886
MADHYA PRADESH,DHAR,2019,1225,856,1636,78,8908
MADHYA PRADESH,DHAR,2020,1338,563,1277,134,6011
MADHYA PRADESH,DHAR,2020,1262,857,1750,78,9650
MADHYA PRADESH,DHAR,2021,1281,582,1310,159,6167
MADHYA PRADESH,DHAR,2021,1302,885,1801,80,10180
MADHYA PRADESH,DHAR,2022,1305,577,1385,187,6395
MADHYA PRADESH,DHAR,2022,1328,900,1764,80,10515
MADHYA PRADESH,DHAR,2023,1321,587,1480,221,6728
MADHYA PRADESH,DHAR,2023,1378,971,1867,84,11434
MADHYA PRADESH,DINDORI,2001,176,105,142,11,887
MADHYA PRADESH,DINDORI,2002,207,130,97,5,915
MADHYA PRADESH,DINDORI,2003,190,171,154,11,1118
MADHYA PRADESH,DINDORI,2004,192,148,126,13,901
MADHYA PRADESH,DINDORI,2005,121,135,75,8,776
MADHYA PRADESH,DINDORI,2006,244,120,66,5,702
MADHYA PRADESH,DINDORI,2007,213,81,65,6,612
MADHYA PRADESH,DINDORI,2008,283,81,82,14,798
MADHYA PRADESH,DINDORI,2009,268,166,70,9,963
MADHYA PRADESH,DINDORI,2010,261,178,91,20,1057
MADHYA PRADESH,DINDORI,2011,238,190,88,13,1120
MADHYA PRADESH,DINDORI,2012,253,216,104,22,1352
MADHYA PRADESH,DINDORI,2013,275,353,177,16,2149
MADHYA PRADESH,DINDORI,2014,250,225,110,26,1516
MADHYA PRADESH,DINDORI,2014,294,356,180,16,2250
MADHYA PRADESH,DINDORI,2015,261,241,124,31,1697
MADHYA PRADESH,DINDORI,2015,313,379,189,19,2393
MADHYA PRADESH,DINDORI,2016,267,263,140,34,1924
MADHYA PRADESH,DINDORI,2016,321,368,194,19,2352
MADHYA PRADESH,DINDORI,2017,277,284,153,41,2152
MADHYA PRADESH,DINDORI,2017,328,379,205,18,2268
MADHYA PRADESH,DINDORI,2018,290,324,180,50,2550
MADHYA PRADESH,DINDORI,2018,335,392,210,21,2371
MADHYA PRADESH,DINDORI,2019,307,352,204,57,2878
MADHYA PRADESH,DINDORI,2019,346,401,218,21,2531
MADHYA PRADESH,DINDORI,2020,322,393,229,70,3124
MADHYA PRADESH,DINDORI,2020,346,411,226,22,2687
MADHYA PRADESH,DINDORI,2021,343,466,262,82,3750
MADHYA PRADESH,DINDORI,2021,340,409,227,21,2685
MADHYA PRADESH,DINDORI,2022,366,522,300,95,4258
MADHYA PRADESH,DINDORI,2022,347,417,241,23,2669
MADHYA PRADESH,DINDORI,2023,386,589,325,105,4763
MADHYA PRADESH,DINDORI,2023,366,427,248,27,2767
MADHYA PRADESH,GUNA,2001,2167,704,1219,41,6492
MADHYA PRADESH,GUNA,2002,2283,785,1203,31,6795
MADHYA PRADESH,GUNA,2003,1306,431,788,27,3923
MADHYA PRADESH,GUNA,2004,1323,386,812,14,3776
MADHYA PRADESH,GUNA,2005,1462,417,756,29,3772
MADHYA PRADESH,GUNA,2006,1289,384,693,31,3823
MADHYA PRADESH,GUNA,2007,1140,400,772,54,3847
MADHYA PRADESH,GUNA,2008,1153,341,673,41,3463
MADHYA PRADESH,GUNA,2009,1249,303,583,26,3415
MADHYA PRADESH,GUNA,2010,1435,343,611,27,3744
MADHYA PRADESH,GUNA,2011,1108,350,792,37,4114
MADHYA PRADESH,GUNA,2012,1009,329,791,29,3997
MADHYA PRADESH,GUNA,2013,994,449,854,24,4242
MADHYA PRADESH,GUNA,2014,975,333,891,32,4198
MADHYA PRADESH,GUNA,2014,1073,469,851,25,4446
MADHYA PRADESH,GUNA,2015,874,347,969,37,4364
MADHYA PRADESH,GUNA,2015,1062,501,871,27,4573
MADHYA PRADESH,GUNA,2016,856,349,1061,37,4826
MADHYA PRADESH,GUNA,2016,1092,513,861,29,4654
MADHYA PRADESH,GUNA,2017,804,376,1187,40,5154
MADHYA PRADESH,GUNA,2017,1114,514,882,29,4551
MADHYA PRADESH,GUNA,2018,756,378,1349,41,5579
MADHYA PRADESH,GUNA,2018,1080,519,931,31,4524
MADHYA PRADESH,GUNA,2019,729,411,1488,45,6531
MADHYA PRADESH,GUNA,2019,1078,523,970,37,4502
MADHYA PRADESH,GUNA,2020,707,429,1672,46,7411
MADHYA PRADESH,GUNA,2020,1048,557,1013,40,4557
MADHYA PRADESH,GUNA,2021,709,425,1835,50,8234
MADHYA PRADESH,GUNA,2021,1089,580,1037,40,4789
MADHYA PRADESH,GUNA,2022,740,450,1982,53,9143
MADHYA PRADESH,GUNA,2022,1157,576,1026,38,5029
MADHYA PRADESH,GUNA,2023,763,475,2195,60,10162
MADHYA PRADESH,GUNA,2023,1160,595,1081,37,5148
MADHYA PRADESH,GWALIOR,2001,1779,356,2942,103,7876
MADHYA PRADESH,GWALIOR,2002,1676,499,2893,133,8710
MADHYA PRADESH,GWALIOR,2003,1518,510,3061,147,8953
MADHYA PRADESH,GWALIOR,2004,1639,517,3705,111,9888
MADHYA PRADESH,GWALIOR,2005,1723,480,3839,140,10248
MADHYA PRADESH,GWALIOR,2006,1747,590,4081,158,11707
MADHYA PRADESH,GWALIOR,2007,2011,547,4508,131,11603
MADHYA PRADESH,GWALIOR,2008,1946,437,4902,138,11105
MADHYA PRADESH,GWALIOR,2009,2063,648,4886,186,12036
MADHYA PRADESH,GWALIOR,2010,2057,722,5400,192,13554
MADHYA PRADESH,GWALIOR,2011,1937,617,5385,194,13300
MADHYA PRADESH,GWALIOR,2012,1559,653,5275,191,12597
MADHYA PRADESH,GWALIOR,2013,1498,1274,4364,162,12559
MADHYA PRADESH,GWALIOR,2014,1542,628,5495,180,13085
MADHYA PRADESH,GWALIOR,2014,1544,1288,4505,172,13098
MADHYA PRADESH,GWALIOR,2015,1495,639,5730,169,13480
MADHYA PRADESH,GWALIOR,2015,1588,1290,4592,169,13021
MADHYA PRADESH,GWALIOR,2016,1457,646,5937,170,13941
MADHYA PRADESH,GWALIOR,2016,1609,1322,4703,167,13314
MADHYA PRADESH,GWALIOR,2017,1412,673,5988,164,14102
MADHYA PRADESH,GWALIOR,2017,1692,1338,4699,166,13363
MADHYA PRADESH,GWALIOR,2018,1417,694,6231,170,14415
MADHYA PRADESH,GWALIOR,2018,1679,1346,4744,173,13105
MADHYA PRADESH,GWALIOR,2019,1420,708,6034,168,14180
MADHYA PRADESH,GWALIOR,2019,1719,1413,4965,182,13574
MADHYA PRADESH,GWALIOR,2020,1434,727,6018,171,14607
MADHYA PRADESH,GWALIOR,2020,1808,1501,4949,190,13721
MADHYA PRADESH,GWALIOR,2021,1505,758,6153,175,15353
MADHYA PRADESH,GWALIOR,2021,1792,1538,4993,197,14137
MADHYA PRADESH,GWALIOR,2022,1509,777,6548,180,15155
MADHYA PRADESH,GWALIOR,2022,1805,1577,5345,202,14279
MADHYA PRADESH,GWALIOR,2023,1565,804,7126,188,15519
MADHYA PRADESH,GWALIOR,2023,1854,1586,5681,201,14725
MADHYA PRADESH,HARDA,2001,195,129,195,9,850
MADHYA PRADESH,HARDA,2002,432,132,192,8,975
MADHYA PRADESH,HARDA,2003,338,128,226,3,937
MADHYA PRADESH,HARDA,2004,479,117,288,13,1221
MADHYA PRADESH,HARDA,2005,453,127,257,8,1230
MADHYA PRADESH,HARDA,2006,505,115,432,4,1483
MADHYA PRADESH,HARDA,2007,544,177,400,14,1626
MADHYA PRADESH,HARDA,2008,533,130,353,0,1349
MADHYA PRADESH,HARDA,2009,595,93,354,9,1533
MADHYA PRADESH,HARDA,2010,730,168,313,13,1524
MADHYA PRADESH,HARDA,2011,416,208,261,15,1473
MADHYA PRADESH,HARDA,2012,422,140,318,13,1480
MADHYA PRADESH,HARDA,2013,205,141,198,4,1219
MADHYA PRADESH,HARDA,2014,402,153,299,16,1499
MADHYA PRADESH,HARDA,2014,213,142,215,6,1305
MADHYA PRADESH,HARDA,2015,413,176,309,20,1629
MADHYA PRADESH,HARDA,2015,214,152,226,9,1376
MADHYA PRADESH,HARDA,2016,388,192,306,19,1686
MADHYA PRADESH,HARDA,2016,228,161,237,10,1390
MADHYA PRADESH,HARDA,2017,365,218,312,25,1788
MADHYA PRADESH,HARDA,2017,234,170,241,12,1461
MADHYA PRADESH,HARDA,2018,379,239,327,27,1899
MADHYA PRADESH,HARDA,2018,236,178,260,11,1487
MADHYA PRADESH,HARDA,2019,385,278,329,29,2025
MADHYA PRADESH,HARDA,2019,252,183,254,12,1531
MADHYA PRADESH,HARDA,2020,399,316,342,32,2164
MADHYA PRADESH,HARDA,2020,249,181,270,12,1550
MADHYA PRADESH,HARDA,2021,431,362,362,41,2320
MADHYA PRADESH,HARDA,2021,247,199,279,14,1557
MADHYA PRADESH,HARDA,2022,454,409,380,49,2487
MADHYA PRADESH,HARDA,2022,270,222,283,10,1661
MADHYA PRADESH,HARDA,2023,476,460,381,55,2602
MADHYA PRADESH,HARDA,2023,282,234,283,8,1746
MADHYA PRADESH,HOSHANGABAD,2001,723,298,856,33,3108
MADHYA PRADESH,HOSHANGABAD,2002,754,333,1032,45,3578
MADHYA PRADESH,HOSHANGABAD,2003,753,352,1102,26,3798
MADHYA PRADESH,HOSHANGABAD,2004,796,338,1044,55,3926
MADHYA PRADESH,HOSHANGABAD,2005,699,345,1027,24,4001
MADHYA PRADESH,HOSHANGABAD,2006,585,289,1062,35,3521
MADHYA PRADESH,HOSHANGABAD,2007,658,319,979,16,3643
MADHYA PRADESH,HOSHANGABAD,2008,692,351,1069,16,4072
MADHYA PRADESH,HOSHANGABAD,2009,676,387,958,21,3991
MADHYA PRADESH,HOSHANGABAD,2010,760,500,1002,59,4763
MADHYA PRADESH,HOSHANGABAD,2011,660,446,804,52,4426
MADHYA PRADESH,HOSHANGABAD,2012,759,384,598,67,3628
MADHYA PRADESH,HOSHANGABAD,2013,688,497,740,25,4083
MADHYA PRADESH,HOSHANGABAD,2014,764,403,566,78,3725
MADHYA PRADESH,HOSHANGABAD,2014,698,509,762,28,4315
MADHYA PRADESH,HOSHANGABAD,2015,753,425,541,88,3765
MADHYA PRADESH,HOSHANGABAD,2015,720,520,779,29,4331
MADHYA PRADESH,HOSHANGABAD,2016,715,449,466,101,3844
MADHYA PRADESH,HOSHANGABAD,2016,719,529,813,33,4419
MADHYA PRADESH,HOSHANGABAD,2017,737,459,409,121,3757
MADHYA PRADESH,HOSHANGABAD,2017,749,548,849,37,4726
MADHYA PRADESH,HOSHANGABAD,2018,766,486,368,132,3704
MADHYA PRADESH,HOSHANGABAD,2018,770,571,851,39,4749
MADHYA PRADESH,HOSHANGABAD,2019,773,502,336,147,3652
MADHYA PRADESH,HOSHANGABAD,2019,798,586,851,44,4925
MADHYA PRADESH,HOSHANGABAD,2020,832,544,317,167,3621
MADHYA PRADESH,HOSHANGABAD,2020,828,603,871,45,4917
MADHYA PRADESH,HOSHANGABAD,2021,873,574,285,197,3609
MADHYA PRADESH,HOSHANGABAD,2021,819,643,859,48,5157
MADHYA PRADESH,HOSHANGABAD,2022,888,622,260,242,3753
MADHYA PRADESH,HOSHANGABAD,2022,831,646,858,46,5321
MADHYA PRADESH,HOSHANGABAD,2023,916,649,230,275,3715
MADHYA PRADESH,HOSHANGABAD,2023,866,638,878,48,5622
MADHYA PRADESH,INDORE,2001,2058,667,6417,211,15905
MADHYA PRADESH,INDORE,2002,1925,757,6919,188,17970
MADHYA PRADESH,INDORE,2003,1772,841,6853,192,18992
MADHYA PRADESH,INDORE,2004,2135,891,6193,247,18104
MADHYA PRADESH,INDORE,2005,2139,852,6431,222,18867
MADHYA PRADESH,INDORE,2006,2320,819,7720,179,19591
MADHYA PRADESH,INDORE,2007,2627,910,7846,161,20388
MADHYA PRADESH,INDORE,2008,2718,1100,10916,150,24430
MADHYA PRADESH,INDORE,2009,3504,1231,9208,199,22351
MADHYA PRADESH,INDORE,2010,4405,1050,8780,241,22476
MADHYA PRADESH,INDORE,2011,3640,1150,8494,279,22398
MADHYA PRADESH,INDORE,2012,2093,1379,10214,250,25688
MADHYA PRADESH,INDORE,2013,2573,1487,13498,176,28743
MADHYA PRADESH,INDORE,2014,2089,1424,10446,275,27786
MADHYA PRADESH,INDORE,2014,2640,1515,13409,192,28058
MADHYA PRADESH,INDORE,2015,1920,1495,10782,307,30630
MADHYA PRADESH,INDORE,2015,2614,1513,13950,195,28721
MADHYA PRADESH,INDORE,2016,1874,1579,11119,359,33720
MADHYA PRADESH,INDORE,2016,2775,1613,13801,204,28762
MADHYA PRADESH,INDORE,2017,1825,1737,11690,396,36706
MADHYA PRADESH,INDORE,2017,2641,1679,14533,213,29415
MADHYA PRADESH,INDORE,2018,1762,1802,12217,441,39578
MADHYA PRADESH,INDORE,2018,2636,1700,14087,208,29359
MADHYA PRADESH,INDORE,2019,1692,1877,13104,442,41452
MADHYA PRADESH,INDORE,2019,2713,1774,14351,203,30186
MADHYA PRADESH,INDORE,2020,1720,2029,13553,479,43750
MADHYA PRADESH,INDORE,2020,2696,1754,14455,197,29981
MADHYA PRADESH,INDORE,2021,1769,2206,14077,530,48332
MADHYA PRADESH,INDORE,2021,2820,1812,15114,205,31049
MADHYA PRADESH,INDORE,2022,1782,2357,14722,594,53627
MADHYA PRADESH,INDORE,2022,2848,1840,15443,215,31428
MADHYA PRADESH,INDORE,2023,1867,2483,15470,645,62615
MADHYA PRADESH,INDORE,2023,2876,1938,16326,223,31999
MADHYA PRADESH,INDORE RLY.,2001,30,10,397,5,548
MADHYA PRADESH,INDORE RLY.,2002,18,10,335,0,444
MADHYA PRADESH,INDORE RLY.,2003,19,4,230,4,313
MADHYA PRADESH,INDORE RLY.,2004,17,7,306,2,438
MADHYA PRADESH,INDORE RLY.,2005,15,13,272,3,455
MADHYA PRADESH,INDORE RLY.,2006,10,13,284,0,406
MADHYA PRADESH,INDORE RLY.,2007,19,15,297,6,442
MADHYA PRADESH,INDORE RLY.,2008,21,13,387,3,529
MADHYA PRADESH,INDORE RLY.,2009,9,3,436,1,521
MADHYA PRADESH,INDORE RLY.,2010,6,4,336,1,440
MADHYA PRADESH,INDORE RLY.,2011,15,10,528,0,609
MADHYA PRADESH,INDORE RLY.,2012,11,13,667,0,760
MADHYA PRADESH,INDORE RLY.,2013,9,22,742,0,847
MADHYA PRADESH,INDORE RLY.,2014,13,16,730,0,822
MADHYA PRADESH,INDORE RLY.,2014,11,22,719,1,838
MADHYA PRADESH,INDORE RLY.,2015,15,18,816,2,913
MADHYA PRADESH,INDORE RLY.,2015,15,24,753,3,881
MADHYA PRADESH,INDORE RLY.,2016,17,18,928,2,1029
MADHYA PRADESH,INDORE RLY.,2016,18,29,786,6,929
MADHYA PRADESH,INDORE RLY.,2017,21,22,1103,1,1215
MADHYA PRADESH,INDORE RLY.,2017,18,27,843,4,987
MADHYA PRADESH,INDORE RLY.,2018,19,21,1254,5,1374
MADHYA PRADESH,INDORE RLY.,2018,15,28,843,3,990
MADHYA PRADESH,INDORE RLY.,2019,22,26,1480,3,1614
MADHYA PRADESH,INDORE RLY.,2019,15,31,875,5,1031
MADHYA PRADESH,INDORE RLY.,2020,21,27,1734,4,1870
MADHYA PRADESH,INDORE RLY.,2020,12,32,891,7,1049
MADHYA PRADESH,INDORE RLY.,2021,23,29,2073,4,2217
MADHYA PRADESH,INDORE RLY.,2021,14,37,872,10,1043
MADHYA PRADESH,INDORE RLY.,2022,28,36,2409,8,2574
MADHYA PRADESH,INDORE RLY.,2022,16,38,877,13,1057
MADHYA PRADESH,INDORE RLY.,2023,29,42,2847,7,3020
MADHYA PRADESH,INDORE RLY.,2023,18,43,907,15,1089
MADHYA PRADESH,JABALPUR,2001,2756,659,2499,54,9361
MADHYA PRADESH,JABALPUR,2002,3570,662,2658,88,10389
MADHYA PRADESH,JABALPUR,2003,4078,753,3040,112,11303
MADHYA PRADESH,JABALPUR,2004,4184,727,2783,150,10713
MADHYA PRADESH,JABALPUR,2005,5063,838,2143,151,10423
MADHYA PRADESH,JABALPUR,2006,5405,718,2407,186,11249
MADHYA PRADESH,JABALPUR,2007,3928,726,2734,158,12097
MADHYA PRADESH,JABALPUR,2008,2858,837,2742,119,12101
MADHYA PRADESH,JABALPUR,2009,1468,787,2680,147,11226
MADHYA PRADESH,JABALPUR,2010,2070,783,1966,94,10903
MADHYA PRADESH,JABALPUR,2011,3792,803,2065,142,11202
MADHYA PRADESH,JABALPUR,2012,4002,847,2268,155,11596
MADHYA PRADESH,JABALPUR,2013,4217,1066,2493,184,12036
MADHYA PRADESH,JABALPUR,2014,4586,927,2232,153,11924
MADHYA PRADESH,JABALPUR,2014,4693,1080,2699,180,12559
MADHYA PRADESH,JABALPUR,2015,5036,962,2223,158,12217
MADHYA PRADESH,JABALPUR,2015,4806,1136,2908,179,12866
MADHYA PRADESH,JABALPUR,2016,5541,1014,2304,160,12586
MADHYA PRADESH,JABALPUR,2016,5087,1153,3030,167,12948
MADHYA PRADESH,JABALPUR,2017,6031,1059,2336,158,12531
MADHYA PRADESH,JABALPUR,2017,5110,1174,3154,175,13158
MADHYA PRADESH,JABALPUR,2018,6502,1139,2445,158,12896
MADHYA PRADESH,JABALPUR,2018,5214,1231,3185,195,13218
MADHYA PRADESH,JABALPUR,2019,7516,1215,2461,158,13669
MADHYA PRADESH,JABALPUR,2019,5597,1279,3288,222,14078
MADHYA PRADESH,JABALPUR,2020,8492,1239,2605,162,14675
MADHYA PRADESH,JABALPUR,2020,5769,1318,3317,243,14557
MADHYA PRADESH,JABALPUR,2021,9714,1339,2923,158,16086
MADHYA PRADESH,JABALPUR,2021,6145,1318,3398,261,15234
MADHYA PRADESH,JABALPUR,2022,11135,1385,3054,176,17446
MADHYA PRADESH,JABALPUR,2022,5716,1319,3454,253,14875
MADHYA PRADESH,JABALPUR,2023,13424,1466,3150,177,19818
MADHYA PRADESH,JABALPUR,2023,6198,1365,3505,269,15407
MADHYA PRADESH,JABALPUR RLY.,2001,19,5,458,4,580
MADHYA PRADESH,JABALPUR RLY.,2002,15,3,429,2,553
MADHYA PRADESH,JABALPUR RLY.,2003,20,7,474,1,623
MADHYA PRADESH,JABALPUR RLY.,2004,25,21,600,3,811
MADHYA PRADESH,JABALPUR RLY.,2005,15,13,759,2,940
MADHYA PRADESH,JABALPUR RLY.,2006,12,13,465,10,621
MADHYA PRADESH,JABALPUR RLY.,2007,13,11,465,2,625
MADHYA PRADESH,JABALPUR RLY.,2008,18,11,449,5,585
MADHYA PRADESH,JABALPUR RLY.,2009,9,12,826,0,937
MADHYA PRADESH,JABALPUR RLY.,2010,15,13,799,1,897
MADHYA PRADESH,JABALPUR RLY.,2011,20,12,925,1,1065
MADHYA PRADESH,JABALPUR RLY.,2012,17,20,1320,1,1618
MADHYA PRADESH,JABALPUR RLY.,2013,16,19,1542,4,1764
MADHYA PRADESH,JABALPUR RLY.,2014,17,25,1524,1,1866
MADHYA PRADESH,JABALPUR RLY.,2014,18,18,1543,4,1778
MADHYA PRADESH,JABALPUR RLY.,2015,23,30,1736,1,2140
MADHYA PRADESH,JABALPUR RLY.,2015,19,23,1556,6,1802
MADHYA PRADESH,JABALPUR RLY.,2016,32,38,2070,1,2560
MADHYA PRADESH,JABALPUR RLY.,2016,17,25,1569,6,1806
MADHYA PRADESH,JABALPUR RLY.,2017,38,45,2383,0,2943
MADHYA PRADESH,JABALPUR RLY.,2017,19,29,1619,8,1876
MADHYA PRADESH,JABALPUR RLY.,2018,45,52,2647,0,3291
MADHYA PRADESH,JABALPUR RLY.,2018,21,31,1533,7,1784
MADHYA PRADESH,JABALPUR RLY.,2019,58,62,2955,1,3681
MADHYA PRADESH,JABALPUR RLY.,2019,23,32,1621,8,1864
MADHYA PRADESH,JABALPUR RLY.,2020,70,73,3438,4,4242
MADHYA PRADESH,JABALPUR RLY.,2020,26,28,1676,10,1916
MADHYA PRADESH,JABALPUR RLY.,2021,75,82,4217,5,5135
MADHYA PRADESH,JABALPUR RLY.,2021,26,34,1745,8,1974
MADHYA PRADESH,JABALPUR RLY.,2022,83,94,4823,8,5930
MADHYA PRADESH,JABALPUR RLY.,2022,28,32,1842,9,2085
MADHYA PRADESH,JABALPUR RLY.,2023,96,106,5302,10,6538
MADHYA PRADESH,JABALPUR RLY.,2023,35,35,1953,12,2202
MADHYA PRADESH,JHABUA,2001,1003,328,731,15,3812
MADHYA PRADESH,JHABUA,2002,1022,250,626,12,3431
MADHYA PRADESH,JHABUA,2003,975,241,606,20,3658
MADHYA PRADESH,JHABUA,2004,852,172,470,5,2814
MADHYA PRADESH,JHABUA,2005,652,190,432,11,2757
MADHYA PRADESH,JHABUA,2006,725,155,418,11,2495
MADHYA PRADESH,JHABUA,2007,779,169,372,8,2484
MADHYA PRADESH,JHABUA,2008,414,125,294,11,1669
MADHYA PRADESH,JHABUA,2009,523,134,318,3,1748
MADHYA PRADESH,JHABUA,2010,1020,133,351,9,2112
MADHYA PRADESH,JHABUA,2011,406,177,276,19,2185
MADHYA PRADESH,JHABUA,2012,495,257,492,11,2701
MADHYA PRADESH,JHABUA,2013,262,241,419,11,2801
MADHYA PRADESH,JHABUA,2014,511,287,546,13,3033
MADHYA PRADESH,JHABUA,2014,270,259,448,13,2790
MADHYA PRADESH,JHABUA,2015,516,334,620,21,3413
MADHYA PRADESH,JHABUA,2015,284,268,462,12,2814
MADHYA PRADESH,JHABUA,2016,534,387,724,24,3835
MADHYA PRADESH,JHABUA,2016,299,284,475,12,2987
MADHYA PRADESH,JHABUA,2017,528,432,790,27,4431
MADHYA PRADESH,JHABUA,2017,290,295,470,11,2988
MADHYA PRADESH,JHABUA,2018,559,492,876,26,4886
MADHYA PRADESH,JHABUA,2018,314,302,483,12,3092
MADHYA PRADESH,JHABUA,2019,584,575,997,32,5425
MADHYA PRADESH,JHABUA,2019,323,299,480,13,3059
MADHYA PRADESH,JHABUA,2020,617,604,1095,37,6167
MADHYA PRADESH,JHABUA,2020,341,319,483,10,3252
MADHYA PRADESH,JHABUA,2021,642,701,1204,42,7182
MADHYA PRADESH,JHABUA,2021,332,331,491,9,3200
MADHYA PRADESH,JHABUA,2022,702,800,1415,49,8081
MADHYA PRADESH,JHABUA,2022,352,329,504,11,3376
MADHYA PRADESH,JHABUA,2023,751,924,1558,59,8731
MADHYA PRADESH,JHABUA,2023,351,339,526,11,3445
MADHYA PRADESH,KATNI,2001,1038,241,675,27,2558
MADHYA PRADESH,KATNI,2002,1111,288,640,24,2653
MADHYA PRADESH,KATNI,2003,1147,308,670,21,2825
MADHYA PRADESH,KATNI,2004,1185,290,562,30,2736
MADHYA PRADESH,KATNI,2005,1233,289,573,33,2784
MADHYA PRADESH,KATNI,2006,1340,289,535,51,3105
MADHYA PRADESH,KATNI,2007,1471,316,494,40,3162
MADHYA PRADESH,KATNI,2008,1497,280,565,40,3236
MADHYA PRADESH,KATNI,2009,1431,348,538,39,3297
MADHYA PRADESH,KATNI,2010,1335,400,502,39,3475
MADHYA PRADESH,KATNI,2011,1208,350,445,41,3437
MADHYA PRADESH,KATNI,2012,1274,348,540,53,3638
MADHYA PRADESH,KATNI,2013,1490,478,517,27,4111
MADHYA PRADESH,KATNI,2014,1231,351,546,62,3766
MADHYA PRADESH,KATNI,2014,1531,472,543,25,4143
MADHYA PRADESH,KATNI,2015,1213,383,541,71,4000
MADHYA PRADESH,KATNI,2015,1511,477,544,29,4219
MADHYA PRADESH,KATNI,2016,1175,391,566,88,4297
MADHYA PRADESH,KATNI,2016,1566,477,553,31,4357
MADHYA PRADESH,KATNI,2017,1137,403,566,97,4436
MADHYA PRADESH,KATNI,2017,1649,492,560,29,4428
MADHYA PRADESH,KATNI,2018,1088,429,595,114,4789
MADHYA PRADESH,KATNI,2018,1798,513,561,35,4682
MADHYA PRADESH,KATNI,2019,985,467,630,129,4961
MADHYA PRADESH,KATNI,2019,1803,524,609,38,4933
MADHYA PRADESH,KATNI,2020,912,518,648,145,5396
MADHYA PRADESH,KATNI,2020,1878,533,640,39,5096
MADHYA PRADESH,KATNI,2021,833,549,680,165,5645
MADHYA PRADESH,KATNI,2021,1806,556,644,40,5230
MADHYA PRADESH,KATNI,2022,871,598,719,188,6094
MADHYA PRADESH,KATNI,2022,1983,580,691,43,5667
MADHYA PRADESH,KATNI,2023,812,653,729,217,6648
MADHYA PRADESH,KATNI,2023,2045,589,706,45,5695
MADHYA PRADESH,KHANDWA,2001,367,397,908,53,4278
MADHYA PRADESH,KHANDWA,2002,364,456,1095,48,4441
MADHYA PRADESH,KHANDWA,2003,236,331,683,32,3086
MADHYA PRADESH,KHANDWA,2004,302,412,894,39,4152
MADHYA PRADESH,KHANDWA,2005,332,432,1309,34,4915
MADHYA PRADESH,KHANDWA,2006,349,407,1330,32,4524
MADHYA PRADESH,KHANDWA,2007,326,387,1111,24,3656
MADHYA PRADESH,KHANDWA,2008,315,337,890,15,3625
MADHYA PRADESH,KHANDWA,2009,357,363,813,12,3515
MADHYA PRADESH,KHANDWA,2010,328,328,625,17,3385
MADHYA PRADESH,KHANDWA,2011,352,317,659,18,3217
MADHYA PRADESH,KHANDWA,2012,318,319,581,24,3110
MADHYA PRADESH,KHANDWA,2013,417,540,746,35,3796
MADHYA PRADESH,KHANDWA,2014,326,323,534,31,3191
MADHYA PRADESH,KHANDWA,2014,429,556,768,35,3814
MADHYA PRADESH,KHANDWA,2015,331,303,496,31,2891
MADHYA PRADESH,KHANDWA,2015,430,555,791,38,3891
MADHYA PRADESH,KHANDWA,2016,333,300,459,35,2923
MADHYA PRADESH,KHANDWA,2016,451,580,791,38,3909
MADHYA PRADESH,KHANDWA,2017,339,290,413,41,2850
MADHYA PRADESH,KHANDWA,2017,468,586,826,40,4048
MADHYA PRADESH,KHANDWA,2018,356,281,392,46,2822
MADHYA PRADESH,KHANDWA,2018,499,618,873,41,4231
MADHYA PRADESH,KHANDWA,2019,368,278,350,55,2693
MADHYA PRADESH,KHANDWA,2019,501,624,921,43,4307
MADHYA PRADESH,KHANDWA,2020,393,267,321,59,2555
MADHYA PRADESH,KHANDWA,2020,506,627,974,46,4377
MADHYA PRADESH,KHANDWA,2021,419,254,299,68,2524
MADHYA PRADESH,KHANDWA,2021,511,638,1016,48,4609
MADHYA PRADESH,KHANDWA,2022,448,243,287,80,2492
MADHYA PRADESH,KHANDWA,2022,522,650,1061,51,4747
MADHYA PRADESH,KHANDWA,2023,486,246,257,91,2452
MADHYA PRADESH,KHANDWA,2023,538,664,1081,53,4819
MADHYA PRADESH,KHARGON,2001,768,327,1272,32,4094
MADHYA PRADESH,KHARGON,2002,511,391,1174,52,4245
MADHYA PRADESH,KHARGON,2003,756,376,1589,60,4870
MADHYA PRADESH,KHARGON,2004,1611,449,1804,46,5203
MADHYA PRADESH,KHARGON,2005,773,356,1376,54,4598
MADHYA PRADESH,KHARGON,2006,773,322,1494,27,4593
MADHYA PRADESH,KHARGON,2007,947,387,1189,138,4776
MADHYA PRADESH,KHARGON,2008,687,380,1382,30,4813
MADHYA PRADESH,KHARGON,2009,654,302,1247,16,4660
