report_number,date_reported,date_of_occurrence,time_of_occurrence,city,crime_code,crime_description,victim_age,victim_gender,weapon_used,crime_domain,police_deployed,case_closed,date_case_closed,case_closed_flag,case_resolution_days,victim_age_group
17941,2022-01-20 02:00:00,2022-01-17 12:00:00,18-01-22 6:38,Mumbai,397,SHOPLIFTING,23,X,Other,Other Crime,16,Yes,2022-04-03 02:00:00,1,73.0,Young Adult
17942,2022-01-19 12:00:00,2022-01-17 13:00:00,17-01-22 20:29,Agra,216,ASSAULT,79,F,Poison,Violent Crime,16,Yes,2022-01-30 12:00:00,1,11.0,Senior
17943,2022-01-18 11:00:00,2022-01-17 14:00:00,18-01-22 8:14,Mumbai,249,ASSAULT,44,M,Firearm,Violent Crime,3,Yes,2022-01-29 11:00:00,1,11.0,Adult
17944,2022-01-18 07:00:00,2022-01-17 15:00:00,18-01-22 13:14,Delhi,531,VEHICLE - STOLEN,39,X,Explosives,Violent Crime,5,Yes,2022-03-23 07:00:00,1,64.0,Adult
17945,2022-01-18 01:00:00,2022-01-17 16:00:00,17-01-22 19:10,Kolkata,127,ROBBERY,52,F,Firearm,Violent Crime,5,Yes,2022-03-05 01:00:00,1,46.0,Middle Aged
17946,2022-01-19 03:00:00,2022-01-17 17:00:00,17-01-22 17:11,Nagpur,178,BURGLARY,43,M,Knife,Other Crime,7,No,,0,,Adult
17947,2022-01-18 03:00:00,2022-01-17 18:00:00,18-01-22 13:36,Delhi,203,CYBERCRIME,48,X,Poison,Other Crime,16,No,,0,,Middle Aged
17948,2022-01-19 20:00:00,2022-01-17 19:00:00,18-01-22 2:31,Kolkata,272,DOMESTIC VIOLENCE,16,F,Other,Violent Crime,5,No,,0,,Minor
17949,2022-01-19 12:00:00,2022-01-17 20:00:00,18-01-22 14:10,Mumbai,542,COUNTERFEITING,77,M,Blunt Object,Other Crime,12,Yes,2022-04-18 12:00:00,1,89.0,Senior
17950,2022-01-20 02:00:00,2022-01-17 21:00:00,18-01-22 17:59,Bhopal,515,FIREARM OFFENSE,72,X,Poison,Fire Accident,19,No,,0,,Senior
17951,2022-01-20 00:00:00,2022-01-17 22:00:00,18-01-22 15:23,Mumbai,463,IDENTITY THEFT,76,M,UNKNOWN,Violent Crime,1,No,,0,,Senior
17952,2022-01-19 21:00:00,2022-01-17 23:00:00,18-01-22 1:16,Delhi,280,FRAUD,75,M,UNKNOWN,Other Crime,3,Yes,2022-04-16 21:00:00,1,87.0,Senior
17953,2022-01-18 04:00:00,2022-01-18 00:00:00,18-01-22 16:51,Thane,356,ILLEGAL POSSESSION,12,X,Knife,Other Crime,10,Yes,2022-06-02 04:00:00,1,135.0,Minor
17954,2022-01-18 21:00:00,2022-01-18 01:00:00,18-01-22 22:35,Kolkata,417,KIDNAPPING,49,F,Blunt Object,Other Crime,1,Yes,2022-01-25 21:00:00,1,7.0,Middle Aged
17955,2022-01-18 09:00:00,2022-01-18 02:00:00,18-01-22 18:02,Delhi,209,DRUG OFFENSE,55,M,Knife,Other Crime,8,Yes,2022-08-03 09:00:00,1,197.0,Middle Aged
17956,2022-01-18 13:00:00,2022-01-18 03:00:00,19-01-22 2:27,Jaipur,478,COUNTERFEITING,25,X,Knife,Other Crime,8,No,,0,,Young Adult
17957,2022-01-20 11:00:00,2022-01-18 04:00:00,19-01-22 1:48,Delhi,319,PUBLIC INTOXICATION,59,F,Other,Other Crime,18,Yes,2022-01-26 11:00:00,1,6.0,Middle Aged
17958,2022-01-20 07:00:00,2022-01-18 05:00:00,18-01-22 15:04,Srinagar,309,TRAFFIC VIOLATION,26,X,UNKNOWN,Traffic Fatality,12,No,,0,,Young Adult
17959,2022-01-19 22:00:00,2022-01-18 06:00:00,18-01-22 8:20,Bangalore,244,ASSAULT,36,M,Other,Violent Crime,12,No,,0,,Adult
17960,2022-01-18 13:00:00,2022-01-18 07:00:00,18-01-22 19:08,Hyderabad,229,KIDNAPPING,36,F,Explosives,Other Crime,17,No,,0,,Adult
17961,2022-01-20 14:00:00,2022-01-18 08:00:00,18-01-22 20:07,Kanpur,197,TRAFFIC VIOLATION,64,M,Poison,Traffic Fatality,16,No,,0,,Senior
17962,2022-01-19 20:00:00,2022-01-18 09:00:00,19-01-22 3:15,Nashik,354,VEHICLE - STOLEN,64,X,Poison,Violent Crime,1,No,,0,,Senior
17963,2022-01-20 11:00:00,2022-01-18 10:00:00,18-01-22 12:39,Vasai,546,ASSAULT,54,M,Blunt Object,Violent Crime,12,No,,0,,Middle Aged
17964,2022-01-21 07:00:00,2022-01-18 11:00:00,19-01-22 1:11,Bangalore,482,PUBLIC INTOXICATION,30,X,Other,Other Crime,1,No,,0,,Young Adult
17965,2022-01-19 16:00:00,2022-01-18 12:00:00,18-01-22 23:06,Mumbai,266,ASSAULT,51,X,Blunt Object,Violent Crime,12,Yes,2022-03-21 16:00:00,1,61.0,Middle Aged
17966,2022-01-20 11:00:00,2022-01-18 13:00:00,19-01-22 0:38,Mumbai,352,CYBERCRIME,43,F,Firearm,Other Crime,13,No,,0,,Adult
17967,2022-01-20 10:00:00,2022-01-18 14:00:00,18-01-22 17:12,Jaipur,253,ILLEGAL POSSESSION,56,F,Firearm,Other Crime,15,No,,0,,Middle Aged
17968,2022-01-21 06:00:00,2022-01-18 15:00:00,19-01-22 13:08,Kanpur,156,CYBERCRIME,74,F,Explosives,Other Crime,19,Yes,2022-05-04 06:00:00,1,103.0,Senior
17969,2022-01-19 06:00:00,2022-01-18 16:00:00,19-01-22 8:25,Mumbai,429,HOMICIDE,45,M,Knife,Other Crime,14,Yes,2023-02-05 06:00:00,1,382.0,Adult
17970,2022-01-21 02:00:00,2022-01-18 17:00:00,19-01-22 8:22,Surat,274,COUNTERFEITING,39,M,Poison,Other Crime,4,Yes,2022-03-04 02:00:00,1,42.0,Adult
17971,2022-01-21 04:00:00,2022-01-18 18:00:00,18-01-22 22:24,Thane,286,ROBBERY,75,X,UNKNOWN,Violent Crime,15,Yes,2022-05-14 04:00:00,1,113.0,Senior
17972,2022-01-19 22:00:00,2022-01-18 19:00:00,19-01-22 3:05,Mumbai,237,IDENTITY THEFT,54,X,Firearm,Violent Crime,15,No,,0,,Middle Aged
17973,2022-01-20 21:00:00,2022-01-18 20:00:00,19-01-22 9:33,Rajkot,223,BURGLARY,66,F,Blunt Object,Other Crime,5,No,,0,,Senior
17974,2022-01-20 14:00:00,2022-01-18 21:00:00,18-01-22 22:16,Hyderabad,229,DRUG OFFENSE,77,F,Other,Other Crime,1,No,,0,,Senior
17975,2022-01-21 12:00:00,2022-01-18 22:00:00,18-01-22 23:05,Hyderabad,375,ILLEGAL POSSESSION,53,X,Knife,Other Crime,15,No,,0,,Middle Aged
17976,2022-01-21 20:00:00,2022-01-18 23:00:00,19-01-22 0:09,Lucknow,428,DOMESTIC VIOLENCE,16,F,Poison,Violent Crime,2,Yes,2022-04-15 20:00:00,1,84.0,Minor
17977,2022-01-19 23:00:00,2022-01-19 00:00:00,19-01-22 9:19,Kanpur,322,VANDALISM,25,F,Knife,Other Crime,17,No,,0,,Young Adult
17978,2022-01-20 14:00:00,2022-01-19 01:00:00,19-01-22 14:02,Mumbai,211,COUNTERFEITING,24,F,Firearm,Other Crime,16,Yes,2022-01-27 14:00:00,1,7.0,Young Adult
17979,2022-01-20 12:00:00,2022-01-19 02:00:00,19-01-22 11:42,Ghaziabad,522,VANDALISM,19,F,Knife,Other Crime,10,No,,0,,Young Adult
17980,2022-01-20 19:00:00,2022-01-19 03:00:00,19-01-22 8:04,Bangalore,427,KIDNAPPING,56,M,Poison,Other Crime,9,No,,0,,Middle Aged
17981,2022-01-19 14:00:00,2022-01-19 04:00:00,19-01-22 6:24,Delhi,392,ASSAULT,57,F,Explosives,Violent Crime,10,Yes,2022-03-22 14:00:00,1,62.0,Middle Aged
17982,2022-01-22 03:00:00,2022-01-19 05:00:00,19-01-22 8:33,Hyderabad,253,VEHICLE - STOLEN,43,X,Poison,Violent Crime,3,Yes,2022-04-16 03:00:00,1,84.0,Adult
17983,2022-01-20 11:00:00,2022-01-19 06:00:00,19-01-22 17:49,Thane,564,SEXUAL ASSAULT,49,X,Knife,Violent Crime,16,No,,0,,Middle Aged
17984,2022-01-19 18:00:00,2022-01-19 07:00:00,20-01-22 5:06,Hyderabad,149,VANDALISM,34,M,Poison,Other Crime,2,Yes,2022-03-24 18:00:00,1,64.0,Adult
17985,2022-01-21 13:00:00,2022-01-19 08:00:00,20-01-22 3:42,Bangalore,309,FRAUD,67,M,Poison,Other Crime,7,No,,0,,Senior
17986,2022-01-21 13:00:00,2022-01-19 09:00:00,20-01-22 4:53,Rajkot,326,DRUG OFFENSE,31,X,Explosives,Other Crime,6,No,,0,,Adult
17987,2022-01-21 15:00:00,2022-01-19 10:00:00,20-01-22 4:17,Varanasi,471,KIDNAPPING,75,X,Blunt Object,Other Crime,8,Yes,2022-02-22 15:00:00,1,32.0,Senior
17988,2022-01-21 11:00:00,2022-01-19 11:00:00,19-01-22 13:18,Kolkata,443,HOMICIDE,55,X,Explosives,Other Crime,15,Yes,2022-07-10 11:00:00,1,170.0,Middle Aged
17989,2022-01-20 13:00:00,2022-01-19 12:00:00,19-01-22 13:01,Chennai,204,SHOPLIFTING,13,M,Blunt Object,Other Crime,19,No,,0,,Minor
17990,2022-01-20 18:00:00,2022-01-19 13:00:00,20-01-22 5:17,Surat,514,VANDALISM,46,F,Firearm,Other Crime,19,Yes,2022-03-26 18:00:00,1,65.0,Middle Aged
17991,2022-01-21 21:00:00,2022-01-19 14:00:00,20-01-22 1:45,Kolkata,581,BURGLARY,25,F,UNKNOWN,Other Crime,8,Yes,2022-01-06 21:00:00,1,-15.0,Young Adult
17992,2022-01-20 11:00:00,2022-01-19 15:00:00,20-01-22 4:39,Lucknow,337,ILLEGAL POSSESSION,42,X,Firearm,Other Crime,15,Yes,2022-01-30 11:00:00,1,10.0,Adult
17993,2022-01-20 15:00:00,2022-01-19 16:00:00,20-01-22 15:01,Mumbai,214,HOMICIDE,26,M,Firearm,Other Crime,6,Yes,2024-02-01 15:00:00,1,742.0,Young Adult
17994,2022-01-21 10:00:00,2022-01-19 17:00:00,20-01-22 5:31,Jaipur,458,PUBLIC INTOXICATION,45,M,Firearm,Other Crime,4,No,,0,,Adult
17995,2022-01-22 17:00:00,2022-01-19 18:00:00,20-01-22 14:09,Delhi,141,SHOPLIFTING,66,F,Blunt Object,Other Crime,11,No,,0,,Senior
17996,2022-01-21 04:00:00,2022-01-19 19:00:00,20-01-22 11:00,Faridabad,521,COUNTERFEITING,19,X,Firearm,Other Crime,19,No,,0,,Young Adult
17997,2022-01-22 06:00:00,2022-01-19 20:00:00,20-01-22 10:07,Hyderabad,284,ARSON,75,F,Poison,Fire Accident,12,No,,0,,Senior
17998,2022-01-21 05:00:00,2022-01-19 21:00:00,19-01-22 22:05,Lucknow,266,SHOPLIFTING,50,M,UNKNOWN,Other Crime,3,No,,0,,Middle Aged
17999,2022-01-20 16:00:00,2022-01-19 22:00:00,20-01-22 8:20,Mumbai,411,HOMICIDE,32,M,Knife,Other Crime,6,Yes,2022-09-12 16:00:00,1,235.0,Adult
18000,2022-01-21 18:00:00,2022-01-19 23:00:00,19-01-22 23:48,Visakhapatnam,396,KIDNAPPING,71,M,UNKNOWN,Other Crime,11,No,,0,,Senior
18001,2022-01-22 08:00:00,2022-01-20 00:00:00,20-01-22 15:30,Visakhapatnam,515,CYBERCRIME,13,F,UNKNOWN,Other Crime,19,No,,0,,Minor
18002,2022-01-21 14:00:00,2022-01-20 01:00:00,20-01-22 22:38,Ahmedabad,234,VEHICLE - STOLEN,36,F,Blunt Object,Violent Crime,8,Yes,2022-02-24 14:00:00,1,34.0,Adult
18003,2022-01-22 05:00:00,2022-01-20 02:00:00,20-01-22 10:36,Indore,120,ARSON,33,X,UNKNOWN,Fire Accident,2,No,,0,,Adult
18004,2022-01-21 03:00:00,2022-01-20 03:00:00,20-01-22 5:05,Pune,297,CYBERCRIME,25,F,UNKNOWN,Other Crime,13,No,,0,,Young Adult
18005,2022-01-21 15:00:00,2022-01-20 04:00:00,20-01-22 14:01,Bangalore,244,EXTORTION,65,X,Other,Other Crime,19,Yes,2022-02-16 15:00:00,1,26.0,Senior
18006,2022-01-20 12:00:00,2022-01-20 05:00:00,20-01-22 17:33,Chennai,543,SHOPLIFTING,71,M,Knife,Other Crime,12,Yes,2022-01-04 12:00:00,1,-16.0,Senior
18007,2022-01-23 04:00:00,2022-01-20 06:00:00,20-01-22 9:52,Delhi,550,CYBERCRIME,64,F,Knife,Other Crime,8,No,,0,,Senior
18008,2022-01-21 05:00:00,2022-01-20 07:00:00,20-01-22 16:31,Faridabad,164,SEXUAL ASSAULT,23,F,Poison,Violent Crime,10,No,,0,,Young Adult
18009,2022-01-21 17:00:00,2022-01-20 08:00:00,21-01-22 0:23,Chennai,574,BURGLARY,30,F,Other,Other Crime,7,No,,0,,Young Adult
18010,2022-01-20 21:00:00,2022-01-20 09:00:00,20-01-22 16:32,Indore,329,ASSAULT,65,X,Other,Violent Crime,7,No,,0,,Senior
18011,2022-01-23 00:00:00,2022-01-20 10:00:00,20-01-22 23:19,Vasai,279,ROBBERY,67,F,Firearm,Violent Crime,5,Yes,2022-09-06 00:00:00,1,226.0,Senior
18012,2022-01-21 05:00:00,2022-01-20 11:00:00,20-01-22 13:47,Hyderabad,444,VANDALISM,62,X,Knife,Other Crime,19,No,,0,,Senior
18013,2022-01-22 06:00:00,2022-01-20 12:00:00,20-01-22 20:59,Kolkata,463,VANDALISM,73,F,Other,Other Crime,5,No,,0,,Senior
18014,2022-01-20 23:00:00,2022-01-20 13:00:00,20-01-22 14:47,Ahmedabad,203,SEXUAL ASSAULT,10,M,Firearm,Violent Crime,3,No,,0,,Minor
18015,2022-01-23 04:00:00,2022-01-20 14:00:00,20-01-22 19:21,Mumbai,311,VEHICLE - STOLEN,23,M,Poison,Violent Crime,2,Yes,2022-02-04 04:00:00,1,12.0,Young Adult
18016,2022-01-21 16:00:00,2022-01-20 15:00:00,21-01-22 5:42,Ludhiana,453,EXTORTION,65,F,Blunt Object,Other Crime,18,No,,0,,Senior
18017,2022-01-23 10:00:00,2022-01-20 16:00:00,20-01-22 18:53,Nashik,173,KIDNAPPING,33,M,Explosives,Other Crime,8,Yes,2022-08-04 10:00:00,1,193.0,Adult
18018,2022-01-23 03:00:00,2022-01-20 17:00:00,21-01-22 6:05,Indore,473,ILLEGAL POSSESSION,48,F,Poison,Other Crime,14,Yes,2022-03-15 03:00:00,1,51.0,Middle Aged
18019,2022-01-21 22:00:00,2022-01-20 18:00:00,20-01-22 23:25,Mumbai,348,SEXUAL ASSAULT,36,F,Other,Violent Crime,16,No,,0,,Adult
18020,2022-01-21 09:00:00,2022-01-20 19:00:00,21-01-22 4:41,Delhi,161,FIREARM OFFENSE,64,X,Explosives,Fire Accident,3,Yes,2022-03-13 09:00:00,1,51.0,Senior
18021,2022-01-22 20:00:00,2022-01-20 20:00:00,21-01-22 16:39,Rajkot,172,SHOPLIFTING,38,F,Firearm,Other Crime,12,No,,0,,Adult
18022,2022-01-22 23:00:00,2022-01-20 21:00:00,21-01-22 14:05,Surat,301,CYBERCRIME,18,F,Poison,Other Crime,2,Yes,2022-08-04 23:00:00,1,194.0,Young Adult
18023,2022-01-21 05:00:00,2022-01-20 22:00:00,21-01-22 5:54,Jaipur,322,KIDNAPPING,66,X,Blunt Object,Other Crime,11,No,,0,,Senior
18024,2022-01-23 04:00:00,2022-01-20 23:00:00,21-01-22 9:42,Ahmedabad,274,FIREARM OFFENSE,25,X,UNKNOWN,Fire Accident,13,Yes,2022-02-24 04:00:00,1,32.0,Young Adult
18025,2022-01-21 23:00:00,2022-01-21 00:00:00,21-01-22 22:34,Hyderabad,202,EXTORTION,55,F,Blunt Object,Other Crime,4,Yes,2022-03-27 23:00:00,1,65.0,Middle Aged
18026,2022-01-22 09:00:00,2022-01-21 01:00:00,21-01-22 3:09,Meerut,201,TRAFFIC VIOLATION,79,X,Firearm,Traffic Fatality,6,Yes,2022-01-23 09:00:00,1,1.0,Senior
18027,2022-01-21 20:00:00,2022-01-21 02:00:00,21-01-22 23:15,Surat,425,CYBERCRIME,69,F,Knife,Other Crime,7,Yes,2022-03-18 20:00:00,1,56.0,Senior
18028,2022-01-23 17:00:00,2022-01-21 03:00:00,21-01-22 19:49,Nagpur,277,PUBLIC INTOXICATION,69,F,Other,Other Crime,17,No,,0,,Senior
18029,2022-01-21 11:00:00,2022-01-21 04:00:00,21-01-22 9:56,Lucknow,318,ASSAULT,69,F,Other,Violent Crime,4,Yes,2022-10-03 11:00:00,1,255.0,Senior
18030,2022-01-22 07:00:00,2022-01-21 05:00:00,21-01-22 16:00,Chennai,523,COUNTERFEITING,60,F,Other,Other Crime,12,Yes,2022-03-31 07:00:00,1,68.0,Middle Aged
18031,2022-01-23 10:00:00,2022-01-21 06:00:00,21-01-22 10:01,Kolkata,244,SEXUAL ASSAULT,16,F,Blunt Object,Violent Crime,19,No,,0,,Minor
18032,2022-01-23 07:00:00,2022-01-21 07:00:00,21-01-22 11:13,Delhi,580,KIDNAPPING,43,M,UNKNOWN,Other Crime,7,Yes,2022-04-04 07:00:00,1,71.0,Adult
18033,2022-01-21 13:00:00,2022-01-21 08:00:00,22-01-22 6:57,Delhi,339,IDENTITY THEFT,63,M,Poison,Violent Crime,8,No,,0,,Senior
18034,2022-01-23 15:00:00,2022-01-21 09:00:00,22-01-22 5:22,Bangalore,415,FRAUD,54,M,Firearm,Other Crime,12,Yes,2022-02-25 15:00:00,1,33.0,Middle Aged
18035,2022-01-23 14:00:00,2022-01-21 10:00:00,22-01-22 3:30,Delhi,209,ARSON,55,F,Poison,Fire Accident,6,No,,0,,Middle Aged
18036,2022-01-24 07:00:00,2022-01-21 11:00:00,22-01-22 4:56,Delhi,140,PUBLIC INTOXICATION,30,X,Poison,Other Crime,4,Yes,2022-07-02 07:00:00,1,159.0,Young Adult
18037,2022-01-23 19:00:00,2022-01-21 12:00:00,21-01-22 23:23,Mumbai,259,BURGLARY,76,X,Poison,Other Crime,5,Yes,2022-03-29 19:00:00,1,65.0,Senior
18038,2022-01-22 17:00:00,2022-01-21 13:00:00,22-01-22 1:54,Ahmedabad,485,KIDNAPPING,52,X,Firearm,Other Crime,15,Yes,2022-03-21 17:00:00,1,58.0,Middle Aged
18039,2022-01-22 15:00:00,2022-01-21 14:00:00,22-01-22 6:11,Ahmedabad,359,HOMICIDE,10,X,Firearm,Other Crime,1,Yes,2022-01-09 15:00:00,1,-13.0,Minor
18040,2022-01-23 10:00:00,2022-01-21 15:00:00,22-01-22 2:04,Chennai,411,PUBLIC INTOXICATION,21,X,Blunt Object,Other Crime,10,No,,0,,Young Adult
18041,2022-01-23 09:00:00,2022-01-21 16:00:00,21-01-22 23:11,Ludhiana,490,EXTORTION,48,F,Other,Other Crime,9,No,,0,,Middle Aged
18042,2022-01-24 09:00:00,2022-01-21 17:00:00,22-01-22 2:34,Delhi,421,TRAFFIC VIOLATION,41,X,Firearm,Traffic Fatality,7,No,,0,,Adult
18043,2022-01-23 01:00:00,2022-01-21 18:00:00,22-01-22 11:28,Mumbai,366,PUBLIC INTOXICATION,57,M,Blunt Object,Other Crime,4,Yes,2022-09-02 01:00:00,1,222.0,Middle Aged
18044,2022-01-22 04:00:00,2022-01-21 19:00:00,22-01-22 13:40,Mumbai,214,CYBERCRIME,15,F,Blunt Object,Other Crime,19,No,,0,,Minor
18045,2022-01-24 14:00:00,2022-01-21 20:00:00,22-01-22 10:43,Bangalore,412,HOMICIDE,36,X,Knife,Other Crime,17,No,,0,,Adult
18046,2022-01-22 14:00:00,2022-01-21 21:00:00,22-01-22 15:11,Thane,110,ROBBERY,65,M,UNKNOWN,Violent Crime,10,No,,0,,Senior
18047,2022-01-24 17:00:00,2022-01-21 22:00:00,22-01-22 7:10,Delhi,277,SEXUAL ASSAULT,49,M,Blunt Object,Violent Crime,12,Yes,2023-09-19 17:00:00,1,603.0,Middle Aged
18048,2022-01-24 03:00:00,2022-01-21 23:00:00,22-01-22 10:22,Pune,317,SHOPLIFTING,44,M,Firearm,Other Crime,1,No,,0,,Adult
18049,2022-01-22 05:00:00,2022-01-22 00:00:00,22-01-22 18:00,Pune,360,EXTORTION,37,X,Other,Other Crime,14,No,,0,,Adult
18050,2022-01-24 04:00:00,2022-01-22 01:00:00,22-01-22 18:16,Mumbai,426,COUNTERFEITING,73,F,Poison,Other Crime,18,No,,0,,Senior
18051,2022-01-23 08:00:00,2022-01-22 02:00:00,23-01-22 0:08,Delhi,238,SEXUAL ASSAULT,32,M,Explosives,Violent Crime,12,No,,0,,Adult
18052,2022-01-23 01:00:00,2022-01-22 03:00:00,22-01-22 12:38,Kolkata,186,SHOPLIFTING,70,F,Poison,Other Crime,12,Yes,2022-01-02 01:00:00,1,-21.0,Senior
18053,2022-01-24 00:00:00,2022-01-22 04:00:00,22-01-22 20:02,Varanasi,423,TRAFFIC VIOLATION,70,F,UNKNOWN,Traffic Fatality,13,Yes,2022-02-14 00:00:00,1,21.0,Senior
18054,2022-01-23 00:00:00,2022-01-22 05:00:00,22-01-22 15:36,Hyderabad,211,EXTORTION,22,X,Knife,Other Crime,2,No,,0,,Young Adult
18055,2022-01-22 08:00:00,2022-01-22 06:00:00,22-01-22 21:34,Chennai,264,SHOPLIFTING,19,M,Poison,Other Crime,9,Yes,2022-12-04 08:00:00,1,316.0,Young Adult
18056,2022-01-22 19:00:00,2022-01-22 07:00:00,23-01-22 5:42,Bhopal,486,ASSAULT,28,F,Other,Violent Crime,1,No,,0,,Young Adult
18057,2022-01-24 17:00:00,2022-01-22 08:00:00,22-01-22 11:24,Chennai,366,COUNTERFEITING,29,F,Poison,Other Crime,6,No,,0,,Young Adult
18058,2022-01-23 03:00:00,2022-01-22 09:00:00,22-01-22 14:42,Mumbai,546,CYBERCRIME,47,M,Firearm,Other Crime,13,Yes,2022-03-29 03:00:00,1,65.0,Middle Aged
18059,2022-01-25 01:00:00,2022-01-22 10:00:00,22-01-22 20:43,Kolkata,339,CYBERCRIME,56,X,Blunt Object,Other Crime,12,No,,0,,Middle Aged
18060,2022-01-25 00:00:00,2022-01-22 11:00:00,22-01-22 17:12,Delhi,407,EXTORTION,21,F,Explosives,Other Crime,14,No,,0,,Young Adult
18061,2022-01-23 10:00:00,2022-01-22 12:00:00,22-01-22 19:17,Bangalore,305,DRUG OFFENSE,33,X,Poison,Other Crime,13,Yes,2022-03-21 10:00:00,1,57.0,Adult
18062,2022-01-24 11:00:00,2022-01-22 13:00:00,23-01-22 9:50,Chennai,104,EXTORTION,77,F,Blunt Object,Other Crime,11,Yes,2022-03-23 11:00:00,1,58.0,Senior
18063,2022-01-22 21:00:00,2022-01-22 14:00:00,23-01-22 2:26,Visakhapatnam,212,FIREARM OFFENSE,34,X,Firearm,Fire Accident,5,Yes,2022-03-31 21:00:00,1,68.0,Adult
18064,2022-01-23 05:00:00,2022-01-22 15:00:00,23-01-22 9:18,Chennai,136,SEXUAL ASSAULT,72,F,Poison,Violent Crime,2,No,,0,,Senior
18065,2022-01-24 04:00:00,2022-01-22 16:00:00,23-01-22 10:46,Kolkata,567,VEHICLE - STOLEN,61,M,UNKNOWN,Violent Crime,3,Yes,2022-04-17 04:00:00,1,83.0,Senior
18066,2022-01-23 07:00:00,2022-01-22 17:00:00,23-01-22 8:59,Delhi,334,IDENTITY THEFT,76,F,Explosives,Violent Crime,12,Yes,2022-01-03 07:00:00,1,-20.0,Senior
18067,2022-01-24 02:00:00,2022-01-22 18:00:00,23-01-22 17:47,Mumbai,147,ASSAULT,73,X,Knife,Violent Crime,13,No,,0,,Senior
18068,2022-01-23 12:00:00,2022-01-22 19:00:00,22-01-22 21:29,Kanpur,503,FRAUD,19,F,UNKNOWN,Other Crime,10,No,,0,,Young Adult
18069,2022-01-24 15:00:00,2022-01-22 20:00:00,22-01-22 23:40,Delhi,544,ASSAULT,22,M,Poison,Violent Crime,14,No,,0,,Young Adult
18070,2022-01-23 20:00:00,2022-01-22 21:00:00,23-01-22 11:52,Delhi,320,IDENTITY THEFT,16,M,Firearm,Violent Crime,5,No,,0,,Minor
18071,2022-01-24 18:00:00,2022-01-22 22:00:00,23-01-22 20:31,Lucknow,147,KIDNAPPING,70,M,Other,Other Crime,13,Yes,2022-07-02 18:00:00,1,159.0,Senior
18072,2022-01-24 15:00:00,2022-01-22 23:00:00,23-01-22 19:06,Mumbai,189,VANDALISM,75,X,Other,Other Crime,4,No,,0,,Senior
18073,2022-01-25 14:00:00,2022-01-23 00:00:00,23-01-22 3:36,Lucknow,167,DRUG OFFENSE,66,M,UNKNOWN,Other Crime,7,Yes,2022-07-04 14:00:00,1,160.0,Senior
18074,2022-01-24 22:00:00,2022-01-23 01:00:00,23-01-22 1:13,Surat,519,CYBERCRIME,36,F,Explosives,Other Crime,15,No,,0,,Adult
18075,2022-01-24 18:00:00,2022-01-23 02:00:00,23-01-22 16:21,Surat,228,KIDNAPPING,36,M,Poison,Other Crime,3,Yes,2022-06-03 18:00:00,1,130.0,Adult
18076,2022-01-23 11:00:00,2022-01-23 03:00:00,23-01-22 11:53,Mumbai,151,SEXUAL ASSAULT,62,X,Knife,Violent Crime,14,No,,0,,Senior
18077,2022-01-25 18:00:00,2022-01-23 04:00:00,23-01-22 6:20,Delhi,167,CYBERCRIME,68,M,Knife,Other Crime,13,No,,0,,Senior
18078,2022-01-25 15:00:00,2022-01-23 05:00:00,24-01-22 4:03,Chennai,231,SEXUAL ASSAULT,46,X,Other,Violent Crime,9,Yes,2023-04-19 15:00:00,1,449.0,Middle Aged
18079,2022-01-24 19:00:00,2022-01-23 06:00:00,24-01-22 1:29,Vasai,518,PUBLIC INTOXICATION,19,X,Knife,Other Crime,7,Yes,2022-06-02 19:00:00,1,129.0,Young Adult
18080,2022-01-24 20:00:00,2022-01-23 07:00:00,23-01-22 14:22,Pune,283,HOMICIDE,60,X,Other,Other Crime,15,No,,0,,Middle Aged
18081,2022-01-25 13:00:00,2022-01-23 08:00:00,23-01-22 11:23,Agra,574,SHOPLIFTING,25,X,UNKNOWN,Other Crime,16,Yes,2022-11-04 13:00:00,1,283.0,Young Adult
18082,2022-01-24 17:00:00,2022-01-23 09:00:00,24-01-22 6:04,Visakhapatnam,397,ILLEGAL POSSESSION,33,M,Blunt Object,Other Crime,4,Yes,2022-03-14 17:00:00,1,49.0,Adult
18083,2022-01-24 23:00:00,2022-01-23 10:00:00,23-01-22 18:56,Surat,587,HOMICIDE,53,X,Other,Other Crime,8,Yes,2023-02-25 23:00:00,1,397.0,Middle Aged
18084,2022-01-24 11:00:00,2022-01-23 11:00:00,24-01-22 6:55,Surat,417,ILLEGAL POSSESSION,24,M,Poison,Other Crime,16,Yes,2022-03-15 11:00:00,1,50.0,Young Adult
18085,2022-01-23 19:00:00,2022-01-23 12:00:00,24-01-22 10:16,Meerut,439,FRAUD,74,X,Poison,Other Crime,1,No,,0,,Senior
18086,2022-01-26 10:00:00,2022-01-23 13:00:00,24-01-22 11:29,Hyderabad,316,COUNTERFEITING,14,X,Explosives,Other Crime,2,No,,0,,Minor
18087,2022-01-25 17:00:00,2022-01-23 14:00:00,24-01-22 13:32,Delhi,526,ROBBERY,16,X,Firearm,Violent Crime,3,Yes,2022-05-05 17:00:00,1,100.0,Minor
18088,2022-01-25 03:00:00,2022-01-23 15:00:00,23-01-22 19:42,Bangalore,185,SHOPLIFTING,55,X,Other,Other Crime,10,Yes,2022-02-16 03:00:00,1,22.0,Middle Aged
18089,2022-01-25 13:00:00,2022-01-23 16:00:00,23-01-22 22:57,Pune,174,CYBERCRIME,49,F,Other,Other Crime,9,Yes,2022-02-23 13:00:00,1,29.0,Middle Aged
