,report_number,date_reported,date_of_occurrence,time_of_occurrence,city,crime_code,crime_description,victim_age,victim_gender,weapon_used,crime_domain,police_deployed,case_closed,date_case_closed,case_closed_flag,case_resolution_days,victim_age_group
18293,18294,2022-01-02 08:00:00,2022-02-01 05:00:00,01-02-22 11:32,Delhi,344,SEXUAL ASSAULT,65,F,Blunt Object,Violent Crime,4,Yes,2022-12-19 08:00:00,1,351.0,Senior
18296,18297,2022-03-02 05:00:00,2022-02-01 08:00:00,01-02-22 16:08,Lucknow,501,FRAUD,70,F,UNKNOWN,Other Crime,11,No,,0,,Senior
18297,18298,2022-03-02 11:00:00,2022-02-01 09:00:00,02-02-22 8:09,Ahmedabad,349,ILLEGAL POSSESSION,70,F,Blunt Object,Other Crime,4,Yes,2022-02-15 11:00:00,1,-15.0,Senior
18298,18299,2022-04-02 01:00:00,2022-02-01 10:00:00,02-02-22 9:52,Hyderabad,104,VEHICLE - STOLEN,18,F,Explosives,Violent Crime,3,Yes,2022-08-04 01:00:00,1,124.0,Young Adult
18299,18300,2022-01-02 18:00:00,2022-02-01 11:00:00,02-02-22 9:52,Kolkata,165,ARSON,51,F,Knife,Fire Accident,17,No,,0,,Middle Aged
18301,18302,2022-02-02 13:00:00,2022-02-01 13:00:00,01-02-22 15:45,Hyderabad,433,HOMICIDE,20,F,Other,Other Crime,9,No,,0,,Young Adult
18303,18304,2022-03-02 05:00:00,2022-02-01 15:00:00,01-02-22 19:36,Delhi,354,DRUG OFFENSE,27,F,Other,Other Crime,13,No,,0,,Young Adult
18305,18306,2022-02-02 09:00:00,2022-02-01 17:00:00,02-02-22 3:58,Hyderabad,402,ROBBERY,38,F,Firearm,Violent Crime,12,No,,0,,Adult
18311,18312,2022-03-02 10:00:00,2022-02-01 23:00:00,02-02-22 16:53,Delhi,524,TRAFFIC VIOLATION,52,F,Poison,Traffic Fatality,19,No,,0,,Middle Aged
18314,18315,2022-03-02 15:00:00,2022-02-02 02:00:00,02-02-22 10:46,Ghaziabad,582,EXTORTION,24,F,Blunt Object,Other Crime,7,No,,0,,Young Adult
18317,18318,2022-04-02 00:00:00,2022-02-02 05:00:00,02-02-22 19:50,Surat,445,SEXUAL ASSAULT,46,F,Firearm,Violent Crime,1,Yes,2023-11-06 00:00:00,1,583.0,Middle Aged
18321,18322,2022-04-02 13:00:00,2022-02-02 09:00:00,02-02-22 18:39,Ahmedabad,342,PUBLIC INTOXICATION,46,F,Other,Other Crime,6,Yes,2022-02-21 13:00:00,1,-40.0,Middle Aged
18327,18328,2022-03-02 15:00:00,2022-02-02 15:00:00,02-02-22 20:29,Pune,209,VANDALISM,62,F,UNKNOWN,Other Crime,3,No,,0,,Senior
18331,18332,2022-02-02 22:00:00,2022-02-02 19:00:00,03-02-22 1:58,Bangalore,254,DOMESTIC VIOLENCE,77,F,Explosives,Violent Crime,6,No,,0,,Senior
18333,18334,2022-05-02 00:00:00,2022-02-02 21:00:00,03-02-22 18:39,Kolkata,349,ILLEGAL POSSESSION,63,F,Firearm,Other Crime,9,No,,0,,Senior
18335,18336,2022-05-02 04:00:00,2022-02-02 23:00:00,03-02-22 2:10,Jaipur,529,COUNTERFEITING,60,F,Blunt Object,Other Crime,3,Yes,2022-02-28 04:00:00,1,-63.0,Middle Aged
18337,18338,2022-05-02 15:00:00,2022-02-03 01:00:00,03-02-22 19:13,Indore,361,COUNTERFEITING,30,F,Firearm,Other Crime,3,Yes,2022-02-05 15:00:00,1,-86.0,Young Adult
18341,18342,2022-05-02 23:00:00,2022-02-03 05:00:00,03-02-22 14:30,Bhopal,375,FRAUD,66,F,UNKNOWN,Other Crime,16,No,,0,,Senior
18349,18350,2022-05-02 07:00:00,2022-02-03 13:00:00,04-02-22 11:39,Ludhiana,163,BURGLARY,20,F,Knife,Other Crime,13,No,,0,,Young Adult
18350,18351,2022-05-02 13:00:00,2022-02-03 14:00:00,04-02-22 4:30,Mumbai,258,BURGLARY,45,F,Explosives,Other Crime,14,No,,0,,Adult
18351,18352,2022-05-02 17:00:00,2022-02-03 15:00:00,04-02-22 6:58,Bangalore,520,SHOPLIFTING,75,F,Other,Other Crime,2,Yes,2022-03-13 17:00:00,1,-50.0,Senior
18358,18359,2022-05-02 17:00:00,2022-02-03 22:00:00,04-02-22 18:46,Delhi,460,ARSON,36,F,Firearm,Fire Accident,5,Yes,2022-08-03 17:00:00,1,93.0,Adult
18359,18360,2022-05-02 08:00:00,2022-02-03 23:00:00,04-02-22 10:03,Mumbai,536,FIREARM OFFENSE,41,F,Firearm,Fire Accident,18,No,,0,,Adult
18366,18367,2022-05-02 04:00:00,2022-02-04 06:00:00,04-02-22 10:12,Bangalore,595,HOMICIDE,16,F,UNKNOWN,Other Crime,12,No,,0,,Minor
18367,18368,2022-04-02 15:00:00,2022-02-04 07:00:00,04-02-22 10:06,Mumbai,584,FIREARM OFFENSE,39,F,Poison,Fire Accident,16,No,,0,,Adult
18368,18369,2022-05-02 21:00:00,2022-02-04 08:00:00,05-02-22 3:47,Chennai,244,FRAUD,19,F,Poison,Other Crime,4,Yes,2022-03-21 21:00:00,1,-42.0,Young Adult
18370,18371,2022-05-02 15:00:00,2022-02-04 10:00:00,04-02-22 18:27,Delhi,571,IDENTITY THEFT,41,F,Firearm,Violent Crime,10,Yes,2022-03-17 15:00:00,1,-46.0,Adult
18371,18372,2022-07-02 10:00:00,2022-02-04 11:00:00,04-02-22 13:40,Lucknow,367,EXTORTION,16,F,Knife,Other Crime,3,Yes,2022-04-15 10:00:00,1,-78.0,Minor
18373,18374,2022-06-02 05:00:00,2022-02-04 13:00:00,04-02-22 20:28,Hyderabad,316,ROBBERY,51,F,Blunt Object,Violent Crime,12,No,,0,,Middle Aged
18379,18380,2022-06-02 12:00:00,2022-02-04 19:00:00,05-02-22 1:26,Lucknow,231,DOMESTIC VIOLENCE,57,F,Other,Violent Crime,5,Yes,2022-05-04 12:00:00,1,-29.0,Middle Aged
18382,18383,2022-06-02 04:00:00,2022-02-04 22:00:00,05-02-22 19:57,Nagpur,366,VEHICLE - STOLEN,57,F,Knife,Violent Crime,12,Yes,2022-02-26 04:00:00,1,-96.0,Middle Aged
18385,18386,2022-06-02 22:00:00,2022-02-05 01:00:00,05-02-22 17:32,Bangalore,223,HOMICIDE,54,F,Firearm,Other Crime,10,Yes,2023-04-10 22:00:00,1,312.0,Middle Aged
18392,18393,2022-05-02 11:00:00,2022-02-05 08:00:00,06-02-22 6:05,Bangalore,247,VANDALISM,39,F,Blunt Object,Other Crime,18,No,,0,,Adult
18395,18396,2022-07-02 06:00:00,2022-02-05 11:00:00,05-02-22 11:41,Delhi,398,COUNTERFEITING,47,F,Knife,Other Crime,16,Yes,2022-04-23 06:00:00,1,-70.0,Middle Aged
18403,18404,2022-06-02 16:00:00,2022-02-05 19:00:00,06-02-22 4:29,Mumbai,114,ASSAULT,48,F,Blunt Object,Violent Crime,9,Yes,2022-02-05 16:00:00,1,-117.0,Middle Aged
18404,18405,2022-07-02 23:00:00,2022-02-05 20:00:00,06-02-22 6:53,Nagpur,439,DRUG OFFENSE,27,F,Knife,Other Crime,11,No,,0,,Young Adult
18407,18408,2022-06-02 17:00:00,2022-02-05 23:00:00,06-02-22 16:44,Surat,305,ASSAULT,46,F,Other,Violent Crime,13,Yes,2022-02-22 17:00:00,1,-100.0,Middle Aged
18409,18410,2022-06-02 03:00:00,2022-02-06 01:00:00,06-02-22 8:28,Mumbai,277,IDENTITY THEFT,58,F,UNKNOWN,Violent Crime,15,No,,0,,Middle Aged
18410,18411,2022-07-02 18:00:00,2022-02-06 02:00:00,06-02-22 7:11,Delhi,217,BURGLARY,25,F,Poison,Other Crime,5,Yes,2022-05-18 18:00:00,1,-45.0,Young Adult
18411,18412,2022-09-02 02:00:00,2022-02-06 03:00:00,06-02-22 7:45,Mumbai,192,KIDNAPPING,58,F,Knife,Other Crime,1,No,,0,,Middle Aged
18418,18419,2022-08-02 10:00:00,2022-02-06 10:00:00,06-02-22 22:21,Agra,300,ILLEGAL POSSESSION,25,F,Explosives,Other Crime,14,Yes,2022-03-05 10:00:00,1,-150.0,Young Adult
18421,18422,2022-07-02 00:00:00,2022-02-06 13:00:00,07-02-22 1:54,Kolkata,592,PUBLIC INTOXICATION,56,F,Firearm,Other Crime,9,Yes,2022-02-17 00:00:00,1,-135.0,Middle Aged
18424,18425,2022-08-02 21:00:00,2022-02-06 16:00:00,07-02-22 2:31,Ahmedabad,164,SHOPLIFTING,66,F,Other,Other Crime,8,No,,0,,Senior
18425,18426,2022-07-02 03:00:00,2022-02-06 17:00:00,07-02-22 9:44,Bhopal,338,DOMESTIC VIOLENCE,36,F,Knife,Violent Crime,15,Yes,2022-05-05 03:00:00,1,-58.0,Adult
18428,18429,2022-08-02 19:00:00,2022-02-06 20:00:00,07-02-22 9:52,Hyderabad,232,ILLEGAL POSSESSION,71,F,Poison,Other Crime,14,Yes,2022-04-05 19:00:00,1,-119.0,Senior
18433,18434,2022-07-02 14:00:00,2022-02-07 01:00:00,07-02-22 9:04,Thane,236,ARSON,34,F,Explosives,Fire Accident,16,Yes,2022-03-14 14:00:00,1,-110.0,Adult
18434,18435,2022-08-02 06:00:00,2022-02-07 02:00:00,07-02-22 15:49,Pune,151,ROBBERY,64,F,Poison,Violent Crime,9,No,,0,,Senior
18435,18436,2022-09-02 03:00:00,2022-02-07 03:00:00,07-02-22 4:06,Pune,155,SHOPLIFTING,42,F,UNKNOWN,Other Crime,19,No,,0,,Adult
18440,18441,2022-09-02 04:00:00,2022-02-07 08:00:00,08-02-22 2:43,Pune,308,VEHICLE - STOLEN,19,F,Firearm,Violent Crime,18,No,,0,,Young Adult
18442,18443,2022-08-02 00:00:00,2022-02-07 10:00:00,07-02-22 18:00,Mumbai,460,IDENTITY THEFT,66,F,Blunt Object,Violent Crime,13,Yes,2022-02-21 00:00:00,1,-162.0,Senior
18452,18453,2022-10-02 01:00:00,2022-02-07 20:00:00,08-02-22 19:16,Kolkata,228,BURGLARY,32,F,Firearm,Other Crime,7,Yes,2022-05-25 01:00:00,1,-130.0,Adult
18453,18454,2022-09-02 18:00:00,2022-02-07 21:00:00,08-02-22 11:31,Kolkata,249,FIREARM OFFENSE,57,F,Blunt Object,Fire Accident,2,Yes,2022-02-18 18:00:00,1,-196.0,Middle Aged
18454,18455,2022-08-02 17:00:00,2022-02-07 22:00:00,08-02-22 9:42,Delhi,285,BURGLARY,31,F,UNKNOWN,Other Crime,5,No,,0,,Adult
18458,18459,2022-09-02 15:00:00,2022-02-08 02:00:00,08-02-22 12:32,Mumbai,448,FIREARM OFFENSE,41,F,Firearm,Fire Accident,14,No,,0,,Adult
18461,18462,2022-10-02 04:00:00,2022-02-08 05:00:00,08-02-22 16:53,Thane,509,CYBERCRIME,33,F,Other,Other Crime,16,No,,0,,Adult
18465,18466,2022-08-02 13:00:00,2022-02-08 09:00:00,09-02-22 5:22,Bangalore,524,EXTORTION,29,F,Blunt Object,Other Crime,13,Yes,2022-02-20 13:00:00,1,-163.0,Young Adult
18467,18468,2022-09-02 00:00:00,2022-02-08 11:00:00,08-02-22 21:13,Ahmedabad,595,EXTORTION,59,F,Firearm,Other Crime,12,Yes,2022-04-26 00:00:00,1,-129.0,Middle Aged
18468,18469,2022-09-02 14:00:00,2022-02-08 12:00:00,08-02-22 18:44,Lucknow,553,CYBERCRIME,71,F,UNKNOWN,Other Crime,10,No,,0,,Senior
18469,18470,2022-09-02 22:00:00,2022-02-08 13:00:00,09-02-22 6:44,Mumbai,496,EXTORTION,64,F,Poison,Other Crime,11,Yes,2022-12-04 22:00:00,1,93.0,Senior
18470,18471,2022-09-02 22:00:00,2022-02-08 14:00:00,08-02-22 22:29,Jaipur,118,SEXUAL ASSAULT,17,F,UNKNOWN,Violent Crime,13,No,,0,,Minor
18472,18473,2022-11-02 05:00:00,2022-02-08 16:00:00,09-02-22 1:45,Hyderabad,448,SHOPLIFTING,21,F,Explosives,Other Crime,7,Yes,2022-07-03 05:00:00,1,-122.0,Young Adult
18474,18475,2022-10-02 13:00:00,2022-02-08 18:00:00,09-02-22 1:38,Hyderabad,597,IDENTITY THEFT,67,F,Blunt Object,Violent Crime,19,Yes,2022-03-29 13:00:00,1,-187.0,Senior
18480,18481,2022-10-02 12:00:00,2022-02-09 00:00:00,09-02-22 0:36,Bangalore,590,ARSON,38,F,Knife,Fire Accident,4,No,,0,,Adult
18481,18482,2022-10-02 16:00:00,2022-02-09 01:00:00,09-02-22 9:24,Nagpur,532,EXTORTION,54,F,Blunt Object,Other Crime,5,No,,0,,Middle Aged
18482,18483,2022-10-02 23:00:00,2022-02-09 02:00:00,09-02-22 8:40,Delhi,411,ASSAULT,64,F,Other,Violent Crime,12,Yes,2022-04-30 23:00:00,1,-155.0,Senior
18485,18486,2022-09-02 13:00:00,2022-02-09 05:00:00,09-02-22 17:39,Delhi,417,IDENTITY THEFT,72,F,UNKNOWN,Violent Crime,8,Yes,2022-05-05 13:00:00,1,-120.0,Senior
18487,18488,2022-10-02 19:00:00,2022-02-09 07:00:00,09-02-22 21:07,Thane,391,EXTORTION,10,F,Firearm,Other Crime,9,Yes,2022-07-05 19:00:00,1,-89.0,Minor
18489,18490,2022-11-02 07:00:00,2022-02-09 09:00:00,09-02-22 23:03,Hyderabad,299,VEHICLE - STOLEN,69,F,Other,Violent Crime,12,Yes,2022-04-18 07:00:00,1,-198.0,Senior
18490,18491,2022-11-02 20:00:00,2022-02-09 10:00:00,10-02-22 5:27,Bangalore,370,ARSON,21,F,Poison,Fire Accident,11,No,,0,,Young Adult
18491,18492,2022-11-02 04:00:00,2022-02-09 11:00:00,09-02-22 13:34,Hyderabad,400,COUNTERFEITING,14,F,UNKNOWN,Other Crime,10,Yes,2022-03-03 04:00:00,1,-244.0,Minor
18493,18494,2022-10-02 05:00:00,2022-02-09 13:00:00,09-02-22 18:25,Delhi,297,FRAUD,34,F,Firearm,Other Crime,13,Yes,2022-05-05 05:00:00,1,-150.0,Adult
18495,18496,2022-11-02 02:00:00,2022-02-09 15:00:00,09-02-22 23:40,Chennai,493,CYBERCRIME,10,F,Knife,Other Crime,7,Yes,2022-04-25 02:00:00,1,-191.0,Minor
18500,18501,2022-10-02 22:00:00,2022-02-09 20:00:00,10-02-22 5:56,Mumbai,408,CYBERCRIME,38,F,Explosives,Other Crime,15,Yes,2022-04-05 22:00:00,1,-180.0,Adult
18502,18503,2022-11-02 14:00:00,2022-02-09 22:00:00,10-02-22 1:08,Chennai,587,VANDALISM,15,F,Blunt Object,Other Crime,6,No,,0,,Minor
18504,18505,2022-10-02 09:00:00,2022-02-10 00:00:00,10-02-22 5:13,Lucknow,200,EXTORTION,27,F,UNKNOWN,Other Crime,5,No,,0,,Young Adult
18506,18507,2022-11-02 16:00:00,2022-02-10 02:00:00,10-02-22 2:41,Bangalore,360,ARSON,23,F,Poison,Fire Accident,5,No,,0,,Young Adult
18509,18510,2022-10-02 20:00:00,2022-02-10 05:00:00,10-02-22 12:19,Chennai,446,IDENTITY THEFT,21,F,Explosives,Violent Crime,12,Yes,2022-03-31 20:00:00,1,-185.0,Young Adult
18510,18511,2022-11-02 05:00:00,2022-02-10 06:00:00,10-02-22 17:52,Delhi,199,FRAUD,27,F,Blunt Object,Other Crime,19,No,,0,,Young Adult
18511,18512,2022-02-13 06:00:00,2022-02-10 07:00:00,10-02-22 14:38,Nagpur,255,FIREARM OFFENSE,33,F,Blunt Object,Fire Accident,1,No,,0,,Adult
18512,18513,2022-11-02 13:00:00,2022-02-10 08:00:00,10-02-22 18:00,Bangalore,430,PUBLIC INTOXICATION,39,F,Knife,Other Crime,14,Yes,2022-02-17 13:00:00,1,-258.0,Adult
18515,18516,2022-11-02 09:00:00,2022-02-10 11:00:00,11-02-22 10:26,Kanpur,329,SHOPLIFTING,64,F,Blunt Object,Other Crime,18,No,,0,,Senior
18517,18518,2022-11-02 00:00:00,2022-02-10 13:00:00,11-02-22 11:40,Delhi,479,TRAFFIC VIOLATION,44,F,Other,Traffic Fatality,17,No,,0,,Adult
18520,18521,2022-02-13 10:00:00,2022-02-10 16:00:00,11-02-22 12:58,Bangalore,163,EXTORTION,46,F,Other,Other Crime,12,No,,0,,Middle Aged
18524,18525,2022-12-02 08:00:00,2022-02-10 20:00:00,11-02-22 1:00,Chennai,269,ROBBERY,66,F,UNKNOWN,Violent Crime,14,Yes,2022-04-15 08:00:00,1,-231.0,Senior
18525,18526,2022-10-02 22:00:00,2022-02-10 21:00:00,11-02-22 12:55,Mumbai,153,KIDNAPPING,49,F,Firearm,Other Crime,13,Yes,2022-08-03 22:00:00,1,-60.0,Middle Aged
18528,18529,2022-11-02 19:00:00,2022-02-11 00:00:00,11-02-22 13:11,Delhi,123,ARSON,22,F,Knife,Fire Accident,12,No,,0,,Young Adult
18530,18531,2022-11-02 20:00:00,2022-02-11 02:00:00,11-02-22 13:10,Ghaziabad,195,TRAFFIC VIOLATION,70,F,Knife,Traffic Fatality,13,Yes,2022-02-23 20:00:00,1,-252.0,Senior
18532,18533,2022-11-02 16:00:00,2022-02-11 04:00:00,11-02-22 21:54,Lucknow,520,BURGLARY,73,F,Poison,Other Crime,12,No,,0,,Senior
18534,18535,2022-02-13 13:00:00,2022-02-11 06:00:00,11-02-22 9:17,Varanasi,302,ARSON,68,F,Firearm,Fire Accident,18,Yes,2022-02-26 13:00:00,1,13.0,Senior
18535,18536,2022-12-02 06:00:00,2022-02-11 07:00:00,12-02-22 3:52,Kalyan,337,ROBBERY,16,F,Poison,Violent Crime,17,Yes,2022-07-23 06:00:00,1,-132.0,Minor
18536,18537,2022-12-02 15:00:00,2022-02-11 08:00:00,11-02-22 8:46,Ahmedabad,465,COUNTERFEITING,35,F,UNKNOWN,Other Crime,17,No,,0,,Adult
18537,18538,2022-02-13 15:00:00,2022-02-11 09:00:00,11-02-22 19:23,Pune,387,VEHICLE - STOLEN,62,F,Other,Violent Crime,7,Yes,2022-03-25 15:00:00,1,40.0,Senior
18539,18540,2022-02-13 02:00:00,2022-02-11 11:00:00,12-02-22 6:55,Delhi,269,DOMESTIC VIOLENCE,29,F,Firearm,Violent Crime,12,No,,0,,Young Adult
18546,18547,2022-02-13 23:00:00,2022-02-11 18:00:00,12-02-22 0:20,Kolkata,311,PUBLIC INTOXICATION,10,F,Poison,Other Crime,19,Yes,2022-03-14 23:00:00,1,29.0,Minor
18549,18550,2022-12-02 10:00:00,2022-02-11 21:00:00,12-02-22 3:03,Rajkot,124,PUBLIC INTOXICATION,42,F,Other,Other Crime,7,Yes,2022-02-23 10:00:00,1,-282.0,Adult
18552,18553,2022-02-14 16:00:00,2022-02-12 00:00:00,12-02-22 2:13,Nagpur,259,ASSAULT,17,F,UNKNOWN,Violent Crime,2,Yes,2022-03-19 16:00:00,1,33.0,Minor
18556,18557,2022-12-02 16:00:00,2022-02-12 04:00:00,12-02-22 10:48,Pune,259,KIDNAPPING,48,F,Knife,Other Crime,8,Yes,2022-06-03 16:00:00,1,-182.0,Middle Aged
18558,18559,2022-02-14 13:00:00,2022-02-12 06:00:00,13-02-22 0:46,Hyderabad,391,FRAUD,44,F,Explosives,Other Crime,1,Yes,2022-04-15 13:00:00,1,60.0,Adult
18559,18560,2022-02-13 15:00:00,2022-02-12 07:00:00,12-02-22 18:26,Kalyan,107,VANDALISM,48,F,Firearm,Other Crime,18,No,,0,,Middle Aged
18564,18565,2022-02-15 09:00:00,2022-02-12 12:00:00,12-02-22 22:58,Bangalore,138,FRAUD,17,F,Blunt Object,Other Crime,9,Yes,2022-10-03 09:00:00,1,230.0,Minor
18568,18569,2022-02-14 10:00:00,2022-02-12 16:00:00,13-02-22 15:55,Faridabad,381,PUBLIC INTOXICATION,78,F,Poison,Other Crime,10,No,,0,,Senior
18569,18570,2022-02-15 12:00:00,2022-02-12 17:00:00,13-02-22 11:26,Patna,404,IDENTITY THEFT,73,F,UNKNOWN,Violent Crime,17,No,,0,,Senior
18570,18571,2022-02-13 00:00:00,2022-02-12 18:00:00,12-02-22 19:46,Nagpur,553,VEHICLE - STOLEN,19,F,UNKNOWN,Violent Crime,18,Yes,2022-04-15 00:00:00,1,61.0,Young Adult
18572,18573,2022-02-15 00:00:00,2022-02-12 20:00:00,12-02-22 20:38,Pune,362,HOMICIDE,77,F,UNKNOWN,Other Crime,10,Yes,2023-03-19 00:00:00,1,397.0,Senior
18574,18575,2022-02-14 06:00:00,2022-02-12 22:00:00,13-02-22 11:04,Bangalore,556,SEXUAL ASSAULT,14,F,Knife,Violent Crime,11,Yes,2023-01-16 06:00:00,1,336.0,Minor
18575,18576,2022-02-15 16:00:00,2022-02-12 23:00:00,13-02-22 6:28,Surat,165,SEXUAL ASSAULT,11,F,Other,Violent Crime,11,No,,0,,Minor
18576,18577,2022-02-13 06:00:00,2022-02-13 00:00:00,13-02-22 3:50,Pune,358,ASSAULT,32,F,Blunt Object,Violent Crime,3,Yes,2022-03-24 06:00:00,1,39.0,Adult
18579,18580,2022-02-14 12:00:00,2022-02-13 03:00:00,13-02-22 12:42,Ahmedabad,502,BURGLARY,47,F,Poison,Other Crime,2,Yes,2022-08-05 12:00:00,1,172.0,Middle Aged
18582,18583,2022-02-13 09:00:00,2022-02-13 06:00:00,13-02-22 23:40,Hyderabad,399,IDENTITY THEFT,68,F,UNKNOWN,Violent Crime,18,Yes,2022-04-23 09:00:00,1,69.0,Senior
18583,18584,2022-02-13 21:00:00,2022-02-13 07:00:00,14-02-22 1:59,Delhi,171,HOMICIDE,52,F,Knife,Other Crime,8,No,,0,,Middle Aged
18585,18586,2022-02-15 22:00:00,2022-02-13 09:00:00,14-02-22 2:35,Ahmedabad,151,ROBBERY,26,F,Other,Violent Crime,15,Yes,2022-06-16 22:00:00,1,121.0,Young Adult
18588,18589,2022-02-14 06:00:00,2022-02-13 12:00:00,13-02-22 23:46,Lucknow,229,ASSAULT,77,F,Blunt Object,Violent Crime,7,No,,0,,Senior
18591,18592,2022-02-13 23:00:00,2022-02-13 15:00:00,14-02-22 14:22,Nagpur,155,DRUG OFFENSE,25,F,Other,Other Crime,17,Yes,2022-03-05 23:00:00,1,20.0,Young Adult
18593,18594,2022-02-16 15:00:00,2022-02-13 17:00:00,14-02-22 11:40,Delhi,462,CYBERCRIME,41,F,Other,Other Crime,15,Yes,2022-02-25 15:00:00,1,9.0,Adult
18597,18598,2022-02-15 15:00:00,2022-02-13 21:00:00,14-02-22 14:15,Visakhapatnam,410,ILLEGAL POSSESSION,45,F,Poison,Other Crime,19,No,,0,,Adult
18598,18599,2022-02-15 22:00:00,2022-02-13 22:00:00,14-02-22 15:11,Pune,479,EXTORTION,55,F,Poison,Other Crime,7,Yes,2022-04-22 22:00:00,1,66.0,Middle Aged
18600,18601,2022-02-15 08:00:00,2022-02-14 00:00:00,14-02-22 13:02,Kanpur,507,HOMICIDE,55,F,Poison,Other Crime,10,No,,0,,Middle Aged
18602,18603,2022-02-15 10:00:00,2022-02-14 02:00:00,15-02-22 0:42,Mumbai,366,COUNTERFEITING,11,F,UNKNOWN,Other Crime,9,No,,0,,Minor
18604,18605,2022-02-14 05:00:00,2022-02-14 04:00:00,14-02-22 12:16,Chennai,181,SEXUAL ASSAULT,54,F,Blunt Object,Violent Crime,10,Yes,2023-03-01 05:00:00,1,380.0,Middle Aged
18605,18606,2022-02-14 15:00:00,2022-02-14 05:00:00,14-02-22 13:09,Pune,308,CYBERCRIME,60,F,UNKNOWN,Other Crime,4,No,,0,,Middle Aged
18606,18607,2022-02-14 21:00:00,2022-02-14 06:00:00,14-02-22 21:12,Ahmedabad,493,COUNTERFEITING,60,F,UNKNOWN,Other Crime,5,No,,0,,Middle Aged
18608,18609,2022-02-15 04:00:00,2022-02-14 08:00:00,14-02-22 18:53,Delhi,215,IDENTITY THEFT,48,F,Poison,Violent Crime,8,No,,0,,Middle Aged
18610,18611,2022-02-15 15:00:00,2022-02-14 10:00:00,14-02-22 14:22,Mumbai,537,DOMESTIC VIOLENCE,61,F,Explosives,Violent Crime,19,Yes,2022-09-04 15:00:00,1,201.0,Senior
18611,18612,2022-02-16 10:00:00,2022-02-14 11:00:00,14-02-22 17:41,Nashik,455,ROBBERY,69,F,UNKNOWN,Violent Crime,17,Yes,2022-03-23 10:00:00,1,35.0,Senior
18612,18613,2022-02-16 09:00:00,2022-02-14 12:00:00,15-02-22 2:10,Bangalore,580,ARSON,78,F,Other,Fire Accident,18,Yes,2022-01-04 09:00:00,1,-43.0,Senior
18613,18614,2022-02-16 04:00:00,2022-02-14 13:00:00,14-02-22 17:44,Delhi,235,DRUG OFFENSE,23,F,Other,Other Crime,10,No,,0,,Young Adult
18614,18615,2022-02-15 11:00:00,2022-02-14 14:00:00,15-02-22 10:09,Lucknow,247,VEHICLE - STOLEN,45,F,Poison,Violent Crime,10,Yes,2022-02-26 11:00:00,1,11.0,Adult
18617,18618,2022-02-16 10:00:00,2022-02-14 17:00:00,15-02-22 9:09,Nashik,360,FRAUD,44,F,Blunt Object,Other Crime,5,Yes,2022-06-03 10:00:00,1,107.0,Adult
18618,18619,2022-02-16 21:00:00,2022-02-14 18:00:00,15-02-22 16:57,Ghaziabad,119,KIDNAPPING,45,F,UNKNOWN,Other Crime,6,No,,0,,Adult
18619,18620,2022-02-17 06:00:00,2022-02-14 19:00:00,15-02-22 10:36,Delhi,280,ARSON,43,F,Other,Fire Accident,2,No,,0,,Adult
18620,18621,2022-02-16 09:00:00,2022-02-14 20:00:00,15-02-22 1:40,Thane,132,HOMICIDE,46,F,Blunt Object,Other Crime,15,Yes,2022-12-12 09:00:00,1,299.0,Middle Aged
18621,18622,2022-02-17 01:00:00,2022-02-14 21:00:00,15-02-22 9:21,Ahmedabad,129,IDENTITY THEFT,62,F,Explosives,Violent Crime,18,Yes,2022-04-16 01:00:00,1,58.0,Senior
18624,18625,2022-02-16 06:00:00,2022-02-15 00:00:00,15-02-22 23:31,Surat,151,ARSON,75,F,UNKNOWN,Fire Accident,18,No,,0,,Senior
18627,18628,2022-02-15 14:00:00,2022-02-15 03:00:00,15-02-22 12:10,Kolkata,274,ILLEGAL POSSESSION,70,F,Explosives,Other Crime,19,Yes,2022-08-04 14:00:00,1,170.0,Senior
18631,18632,2022-02-17 03:00:00,2022-02-15 07:00:00,15-02-22 7:36,Hyderabad,411,PUBLIC INTOXICATION,73,F,Firearm,Other Crime,4,No,,0,,Senior
18636,18637,2022-02-17 07:00:00,2022-02-15 12:00:00,16-02-22 1:37,Kanpur,153,FRAUD,16,F,Poison,Other Crime,16,Yes,2022-07-04 07:00:00,1,137.0,Minor
18637,18638,2022-02-16 20:00:00,2022-02-15 13:00:00,15-02-22 21:35,Patna,478,VEHICLE - STOLEN,56,F,Poison,Violent Crime,14,Yes,2022-03-15 20:00:00,1,27.0,Middle Aged
18642,18643,2022-02-17 05:00:00,2022-02-15 18:00:00,16-02-22 16:15,Pune,183,VEHICLE - STOLEN,15,F,Explosives,Violent Crime,18,Yes,2022-04-30 05:00:00,1,72.0,Minor
18648,18649,2022-02-16 20:00:00,2022-02-16 00:00:00,16-02-22 5:13,Bangalore,155,COUNTERFEITING,67,F,Knife,Other Crime,17,Yes,2022-03-27 20:00:00,1,39.0,Senior
18649,18650,2022-02-16 09:00:00,2022-02-16 01:00:00,16-02-22 21:18,Nagpur,309,ILLEGAL POSSESSION,21,F,Knife,Other Crime,13,No,,0,,Young Adult
18651,18652,2022-02-16 08:00:00,2022-02-16 03:00:00,16-02-22 10:30,Delhi,586,DOMESTIC VIOLENCE,63,F,UNKNOWN,Violent Crime,16,Yes,2022-04-03 08:00:00,1,46.0,Senior
